Day,Month,Year,Latitude,Longitude,Acres,County,AgencyCode,Source,DDLat,DDLon,ORIG_OID
19,4,2001,21.4644527,-158.2118683,0.5,Oahu,OA452,Honolulu Fire Dept,21.46445270N,158.21186830W,2479
21,8,2017,21.462078,-158.211853,0.25,Oahu,2017_OA_0050182, ,21.46207800N,158.21185300W,2480
4,7,2002,21.4627113,-158.2117767,0.2,Oahu,OA453,Honolulu Fire Dept,21.46271130N,158.21177670W,2481
9,7,2006,21.4627113,-158.2117767,0.1,Oahu,OA454,Honolulu Fire Dept,21.46271130N,158.21177670W,2482
29,12,2014,21.462725,-158.211769,0.25,Oahu,2014_OA_0067955, ,21.46272500N,158.21176900W,2483
19,7,2005,21.4663849,-158.2117004,0.1,Oahu,OA455,Honolulu Fire Dept,21.46638490N,158.21170040W,2484
2,8,2007,21.4788303,-158.2113037,0.1,Oahu,OA456,Honolulu Fire Dept,21.47883030N,158.21130370W,2485
30,8,2003,21.4655609,-158.2109528,0.1,Oahu,OA457,Honolulu Fire Dept,21.46556090N,158.21095280W,2486
18,6,2007,21.4655609,-158.2109528,0.1,Oahu,OA458,Honolulu Fire Dept,21.46556090N,158.21095280W,2487
2,6,2015,21.461183,-158.210946,2,Oahu,2015_OA_0031017, ,21.46118300N,158.21094600W,2488
1,7,2016,21.461183,-158.210946,0.25,Oahu,2016_OA_0037901, ,21.46118300N,158.21094600W,2489
25,5,2015,21.461183,-158.210946,0.01,Oahu,2015_OA_0029356, ,21.46118300N,158.21094600W,2490
25,4,2001,21.4708099,-158.2109375,0.1,Oahu,OA459,Honolulu Fire Dept,21.47080990N,158.21093750W,2491
4,7,2002,21.4614487,-158.2108917,0.2,Oahu,OA460,Honolulu Fire Dept,21.46144870N,158.21089170W,2492
23,7,2003,21.4614487,-158.2108917,0.2,Oahu,OA461,Honolulu Fire Dept,21.46144870N,158.21089170W,2493
11,6,2018,21.46141,-158.210771,0.1,Oahu,2018_OA_0035424, ,21.46141000N,158.21077100W,2494
26,5,2015,21.46141,-158.210771,0.02,Oahu,2015_OA_0029691, ,21.46141000N,158.21077100W,2495
4,7,2007,21.4613171,-158.2107391,0.1,Oahu,OA462,Honolulu Fire Dept,21.46131710N,158.21073910W,2496
